Datetime,Water Level (m)
2023-06-20 18:00:00,0.6394512
2023-06-20 19:00:00,0.32915813
2023-06-20 20:00:00,-0.0787822
2023-06-20 21:00:00,-0.4731268
2023-06-20 22:00:00,-0.7229611
2023-06-20 23:00:00,-0.6918819
2023-06-21 00:00:00,-0.37786922
2023-06-21 01:00:00,0.08757865
2023-06-21 02:00:00,0.579731
2023-06-21 03:00:00,1.029805
2023-06-21 04:00:00,1.3486651
2023-06-21 05:00:00,1.3933307
2023-06-21 06:00:00,1.1888162
2023-06-21 07:00:00,0.8406186
2023-06-21 08:00:00,0.39211306
2023-06-21 09:00:00,-0.084646925
2023-06-21 10:00:00,-0.47018668
2023-06-21 11:00:00,-0.6257427
2023-06-21 12:00:00,-0.5187881
2023-06-21 13:00:00,-0.21988942
2023-06-21 14:00:00,0.15472676
2023-06-21 15:00:00,0.52508485
2023-06-21 16:00:00,0.8290665
2023-06-21 17:00:00,0.9318976
2023-06-21 18:00:00,0.7951649
2023-06-21 19:00:00,0.5185223
2023-06-21 20:00:00,0.18224928
2023-06-21 21:00:00,-0.1815182
2023-06-21 22:00:00,-0.49497834
2023-06-21 23:00:00,-0.63976306
2023-06-22 00:00:00,-0.5148671
2023-06-22 01:00:00,-0.16483453
2023-06-22 02:00:00,0.30204695
2023-06-22 03:00:00,0.76953185
2023-06-22 04:00:00,1.1558944
2023-06-22 05:00:00,1.3565681
2023-06-22 06:00:00,1.3179637
2023-06-22 07:00:00,1.060766
2023-06-22 08:00:00,0.6588941
2023-06-22 09:00:00,0.21860303
2023-06-22 10:00:00,-0.17192343
2023-06-22 11:00:00,-0.45952144
2023-06-22 12:00:00,-0.53668296
2023-06-22 13:00:00,-0.3852227
2023-06-22 14:00:00,-0.048936144
2023-06-22 15:00:00,0.3134186
2023-06-22 16:00:00,0.6296088
2023-06-22 17:00:00,0.8708417
2023-06-22 18:00:00,0.9129338
2023-06-22 19:00:00,0.7295023
2023-06-22 20:00:00,0.42162117
2023-06-22 21:00:00,0.09567976
2023-06-22 22:00:00,-0.20214762
2023-06-22 23:00:00,-0.43686855
2023-06-23 00:00:00,-0.4974381
2023-06-23 01:00:00,-0.3122812
2023-06-23 02:00:00,0.045122813
2023-06-23 03:00:00,0.47249648
2023-06-23 04:00:00,0.8795963
2023-06-23 05:00:00,1.1991036
2023-06-23 06:00:00,1.3255991
2023-06-23 07:00:00,1.2101938
2023-06-23 08:00:00,0.89301175
2023-06-23 09:00:00,0.4965009
2023-06-23 10:00:00,0.10653316
2023-06-23 11:00:00,-0.2273151
2023-06-23 12:00:00,-0.41671893
2023-06-23 13:00:00,-0.4001057
2023-06-23 14:00:00,-0.20007963
2023-06-23 15:00:00,0.1086226
2023-06-23 16:00:00,0.4412943
2023-06-23 17:00:00,0.7619696
2023-06-23 18:00:00,0.9581254
2023-06-23 19:00:00,0.92729366
2023-06-23 20:00:00,0.6884696
2023-06-23 21:00:00,0.36663076
2023-06-23 22:00:00,0.084481455
2023-06-23 23:00:00,-0.1453687
2023-06-24 00:00:00,-0.31984007
2023-06-24 01:00:00,-0.313826
2023-06-24 02:00:00,-0.0897684
2023-06-24 03:00:00,0.25555792
2023-06-24 04:00:00,0.61475456
2023-06-24 05:00:00,0.9438031
2023-06-24 06:00:00,1.1801387
2023-06-24 07:00:00,1.2232692
2023-06-24 08:00:00,1.054116
2023-06-24 09:00:00,0.739707
2023-06-24 10:00:00,0.37034386
2023-06-24 11:00:00,0.021886788
2023-06-24 12:00:00,-0.25573376
2023-06-24 13:00:00,-0.38909987
2023-06-24 14:00:00,-0.34622642
2023-06-24 15:00:00,-0.13260439
2023-06-24 16:00:00,0.16342093
2023-06-24 17:00:00,0.47138816
2023-06-24 18:00:00,0.7317777
2023-06-24 19:00:00,0.85343313
2023-06-24 20:00:00,0.7956702
2023-06-24 21:00:00,0.6085689
2023-06-24 22:00:00,0.36967582
2023-06-24 23:00:00,0.11291163
2023-06-25 00:00:00,-0.12472808
2023-06-25 01:00:00,-0.2546702
2023-06-25 02:00:00,-0.19158325
2023-06-25 03:00:00,0.041365113
2023-06-25 04:00:00,0.36158222
2023-06-25 05:00:00,0.68792176
2023-06-25 06:00:00,0.97476673
2023-06-25 07:00:00,1.1384121
2023-06-25 08:00:00,1.1138142
2023-06-25 09:00:00,0.91403055
2023-06-25 10:00:00,0.6143029
2023-06-25 11:00:00,0.2920705
2023-06-25 12:00:00,0.0018383231
2023-06-25 13:00:00,-0.21915115
2023-06-25 14:00:00,-0.32790312
2023-06-25 15:00:00,-0.2698501
2023-06-25 16:00:00,-0.048533328
2023-06-25 17:00:00,0.24836105
2023-06-25 18:00:00,0.54642284
2023-06-25 19:00:00,0.78331083
2023-06-25 20:00:00,0.8793149
2023-06-25 21:00:00,0.8114188
2023-06-25 22:00:00,0.63591325
2023-06-25 23:00:00,0.41063684
2023-06-26 00:00:00,0.17712933
2023-06-26 01:00:00,-0.02775373
2023-06-26 02:00:00,-0.12935945
2023-06-26 03:00:00,-0.07674832
2023-06-26 04:00:00,0.11905864
2023-06-26 05:00:00,0.39906412
2023-06-26 06:00:00,0.6762545
2023-06-26 07:00:00,0.90450126
2023-06-26 08:00:00,1.0196203
2023-06-26 09:00:00,0.9784952
2023-06-26 10:00:00,0.78332055
2023-06-26 11:00:00,0.4958633
2023-06-26 12:00:00,0.20258737
2023-06-26 13:00:00,-0.06723319
2023-06-26 14:00:00,-0.28540975
2023-06-26 15:00:00,-0.37374878
2023-06-26 16:00:00,-0.27434883
2023-06-26 17:00:00,-0.03179821
2023-06-26 18:00:00,0.24595892
